OFF_BY_COMPANY,CAR_NAME ,Transmission _Type,KM_DIVEN_BY,OWNER_TYPE,FUEL_TYPE,EMI,SELLING_PRICE,DOWNPAYMENT,TOTAL_PRICE
"₹38,000 OFF",2016 Maruti Vitara Brezza,Manual,"54,460 km",1st Owner,Diesel,"₹16,020/month","₹ 7,20,199.00",Zero downpayment,"₹ 7,58,199.00"
"₹31,000 OFF",2016 Maruti Swift Dzire,,"58,123 km",2nd Owner,Diesel,"₹12,795/month","₹ 5,75,199.00",Zero downpayment,"₹ 6,06,199.00"
"₹21,000 OFF",2014 Volkswagen Polo,Manual,"71,299 km",2nd Owner,Petrol,"₹8,551/month","₹ 3,84,399.00",Zero downpayment,"₹ 4,05,399.00"
"₹12,000 OFF",2016 Maruti Vitara Brezza,Manual,"41,629 km",1st Owner,Diesel,"₹17,302/month","₹ 7,77,799.00",Zero downpayment,"₹ 7,89,799.00"
"₹21,000 OFF",2015 Maruti Swift Dzire,Manual,"36,616 km",1st Owner,Diesel,"₹8,551/month","₹ 3,84,399.00",Zero downpayment,"₹ 4,05,399.00"
"₹35,000 OFF",2014 Ford Ecosport,Manual,"26,045 km",1st Owner,Petrol,"₹14,706/month","₹ 6,61,099.00",Zero downpayment,"₹ 6,96,099.00"
"₹27,000 OFF",2016 Hyundai Elite i20,Manual,"1,06,166 km",1st Owner,Diesel,"₹11,242/month","₹ 5,05,399.00",Zero downpayment,"₹ 5,32,399.00"
"₹27,000 OFF",2015 Ford Ecosport,Manual,"54,177 km",2nd Owner,Diesel,"₹11,218/month","₹ 5,04,299.00",Zero downpayment,"₹ 5,31,299.00"
"₹36,000 OFF",2018 Maruti Vitara Brezza,Manual,"58,549 km",1st Owner,Diesel,"₹14,968/month","₹ 6,72,899.00",Zero downpayment,"₹ 7,08,899.00"
"₹29,000 OFF",2014 Maruti Ritz,Manual,"79,805 km",1st Owner,Diesel,"₹7,527/month","₹ 3,38,399.00",Zero downpayment,"₹ 3,67,399.00"
"₹21,000 OFF",2015 Maruti Swift,Manual,"56,109 km",1st Owner,Petrol,"₹8,495/month","₹ 3,81,899.00",Zero downpayment,"₹ 4,02,899.00"
"₹5,000 OFF",2018 Toyota Fortuner,Automatic,"26,649 km",4th Owner,Diesel,"₹59,364/month","₹ 26,68,699.00",Zero downpayment,"₹ 26,73,699.00"
"₹25,000 OFF",2018 Maruti Swift,Manual,"12,659 km",1st Owner,Petrol,"₹10,490/month","₹ 4,71,599.00",Zero downpayment,"₹ 4,96,599.00"
"₹38,000 OFF",2014 Toyota Innova,Manual,"86,859 km",1st Owner,Diesel,"₹15,760/month","₹ 7,08,499.00",Zero downpayment,"₹ 7,46,499.00"
"₹5,000 OFF",2019 Hyundai VENUE,Automatic,"7,510 km",1st Owner,Petrol,"₹22,809/month","₹ 10,25,399.00",Zero downpayment,"₹ 10,30,399.00"
"₹23,000 OFF",2015 Toyota Etios,Manual,"80,605 km",1st Owner,Diesel,"₹9,483/month","₹ 4,26,299.00",Zero downpayment,"₹ 4,49,299.00"
"₹5,000 OFF",2015 Audi Q3,Automatic,"67,720 km",3rd Owner,Diesel,"₹36,708/month","₹ 16,50,199.00",Zero downpayment,"₹ 16,55,199.00"
"₹5,000 OFF",2016 Ford Ecosport,Manual,"93,698 km",1st Owner,Diesel,"₹12,662/month","₹ 5,69,199.00",Zero downpayment,"₹ 5,74,199.00"
"₹50,000 OFF",2013 Mercedes Benz E Class,Manual,"52,487 km",1st Owner,Diesel,"₹27,507/month","₹ 12,36,599.00",Zero downpayment,"₹ 12,86,599.00"
"₹13,000 OFF",2017 Maruti Swift,Manual,"68,768 km",1st Owner,Petrol + CNG,"₹12,370/month","₹ 5,56,099.00",Zero downpayment,"₹ 5,69,099.00"
"₹26,000 OFF",2015 Toyota Etios,Manual,"77,530 km",1st Owner,Diesel,"₹10,806/month","₹ 4,85,799.00",Zero downpayment,"₹ 5,11,799.00"
"₹49,000 OFF",2018 Honda City,Manual,"26,629 km",1st Owner,Petrol,"₹20,707/month","₹ 9,30,899.00",Zero downpayment,"₹ 9,79,899.00"
"₹22,000 OFF",2016 Hyundai Grand i10,Manual,"41,549 km",1st Owner,Petrol,"₹9,038/month","₹ 4,06,299.00",Zero downpayment,"₹ 4,28,299.00"
"₹29,000 OFF",2016 Maruti Baleno,Manual,"49,203 km",1st Owner,Petrol,"₹12,103/month","₹ 5,44,099.00",Zero downpayment,"₹ 5,73,099.00"
"₹9,000 OFF",2018 Maruti Vitara Brezza,Manual,"82,601 km",1st Owner,Diesel,"₹14,715/month","₹ 6,61,499.00",Zero downpayment,"₹ 6,70,499.00"
"₹46,000 OFF",2017 Hyundai Elite i20,Manual,"83,787 km",2nd Owner,Diesel,"₹15,963/month","₹ 7,17,599.00",Zero downpayment,"₹ 7,63,599.00"
"₹21,000 OFF",2014 Volkswagen Polo,Manual,"47,571 km",1st Owner,Diesel,"₹8,522/month","₹ 3,83,099.00",Zero downpayment,"₹ 4,04,099.00"
